,Round,Client,TestAcc
278,28,8,25.83
279,28,9,29.35
280,29,0,22.12
281,29,1,21.84
282,29,2,30.59
283,29,3,20.26
284,29,4,30.73
285,29,5,24.97
286,29,6,27.8
287,29,7,22.95
288,29,8,20.5
289,29,9,24.13
290,30,0,25.34
291,30,1,19.19
292,30,2,25.98
293,30,3,27.13
294,30,4,21.53
295,30,5,24.77
296,30,6,21.75
297,30,7,22.87
298,30,8,23.57
299,30,9,24.65
300,31,0,27.97
301,31,1,25.88
302,31,2,19.54
303,31,3,21.43
304,31,4,25.65
305,31,5,20.51
306,31,6,22.34
307,31,7,25.88
308,31,8,18.52
309,31,9,29.51
310,32,0,31.92
311,32,1,19.68
312,32,2,28.82
313,32,3,26.01
314,32,4,21.12
315,32,5,22.06
316,32,6,26.48
317,32,7,25.95
318,32,8,19.97
319,32,9,27.23
320,33,0,30.87
321,33,1,22.39
322,33,2,25.36
323,33,3,27.64
324,33,4,25.57
325,33,5,21.85
326,33,6,28.08
327,33,7,27.01
328,33,8,24.37
329,33,9,26.81
330,34,0,26.45
331,34,1,25.28
332,34,2,26.14
333,34,3,28.01
334,34,4,28.01
335,34,5,27.91
336,34,6,22.62
337,34,7,25.26
338,34,8,22.77
339,34,9,22.32
340,35,0,24.98
341,35,1,24.22
342,35,2,27.31
343,35,3,24.76
344,35,4,27.2
345,35,5,26.22
346,35,6,23.71
347,35,7,23.25
348,35,8,30.25
349,35,9,26.4
350,36,0,28.26
351,36,1,22.57
352,36,2,27.76
353,36,3,26.31
354,36,4,29.55
355,36,5,15.09
356,36,6,28.11
357,36,7,30.66
358,36,8,30.2
359,36,9,27.22
360,37,0,23.03
361,37,1,26.32
362,37,2,22.31
363,37,3,25.77
364,37,4,27.1
365,37,5,22.13
366,37,6,26.41
367,37,7,21.68
368,37,8,24.05
369,37,9,22.93
370,38,0,27.22
371,38,1,25.03
372,38,2,24.14
373,38,3,24.3
374,38,4,19.53
375,38,5,30.4
376,38,6,26.54
377,38,7,24.88
378,38,8,22.35
379,38,9,30.26
380,39,0,18.45
381,39,1,10.0
382,39,2,27.36
383,39,3,23.31
384,39,4,26.06
385,39,5,26.03
386,39,6,30.23
387,39,7,24.03
388,39,8,24.66
389,39,9,25.94
390,40,0,25.31
391,40,1,28.88
392,40,2,28.67
393,40,3,28.9
394,40,4,27.36
395,40,5,28.18
396,40,6,19.21
397,40,7,26.0
398,40,8,13.72
399,40,9,24.46
400,41,0,25.05
401,41,1,24.28
402,41,2,28.17
403,41,3,23.83
404,41,4,27.38
405,41,5,21.05
406,41,6,25.27
407,41,7,28.58
408,41,8,28.59
409,41,9,27.65
410,42,0,26.64
411,42,1,28.98
412,42,2,22.89
413,42,3,25.07
414,42,4,26.22
415,42,5,25.08
416,42,6,20.53
417,42,7,29.27
418,42,8,23.46
419,42,9,23.08
420,43,0,21.39
421,43,1,27.03
422,43,2,23.45
423,43,3,20.95
424,43,4,21.96
425,43,5,26.17
426,43,6,24.51
427,43,7,19.04
428,43,8,24.36
429,43,9,14.92
430,44,0,22.5
431,44,1,26.78
432,44,2,25.71
433,44,3,22.69
434,44,4,27.13
435,44,5,28.54
436,44,6,21.97
437,44,7,23.36
438,44,8,20.33
439,44,9,29.74
440,45,0,26.01
441,45,1,28.14
442,45,2,27.57
443,45,3,28.37
444,45,4,14.45
