,Round,Client,TestAcc
0,1,0,10.0
1,1,1,10.0
2,1,2,10.0
3,1,3,10.0
4,1,4,10.0
5,1,5,8.03
6,1,6,9.95
7,1,7,10.0
8,1,8,10.0
9,1,9,10.0
10,2,0,9.57
11,2,1,9.52
12,2,2,9.6
13,2,3,10.0
14,2,4,9.96
15,2,5,10.0
16,2,6,10.33
17,2,7,10.0
18,2,8,9.99
19,2,9,10.0
20,3,0,11.0
21,3,1,10.0
22,3,2,10.0
23,3,3,7.97
24,3,4,10.0
25,3,5,8.53
26,3,6,9.11
27,3,7,10.58
28,3,8,9.12
29,3,9,10.0
30,4,0,9.99
31,4,1,10.0
32,4,2,10.0
33,4,3,8.71
34,4,4,7.66
35,4,5,10.0
36,4,6,10.0
37,4,7,9.98
38,4,8,10.03
39,4,9,10.16
40,5,0,9.98
41,5,1,10.0
42,5,2,10.55
43,5,3,10.02
44,5,4,9.77
45,5,5,10.02
46,5,6,10.0
47,5,7,10.0
48,5,8,10.0
49,5,9,10.0
50,6,0,10.54
51,6,1,10.82
52,6,2,10.0
53,6,3,8.95
54,6,4,10.0
55,6,5,10.04
56,6,6,10.07
57,6,7,10.07
58,6,8,10.35
59,6,9,9.62
60,7,0,10.12
61,7,1,10.04
62,7,2,9.91
63,7,3,10.0
64,7,4,9.81
65,7,5,10.02
66,7,6,10.34
67,7,7,9.51
68,7,8,9.99
69,7,9,10.39
70,8,0,10.21
71,8,1,10.0
72,8,2,10.0
73,8,3,10.0
74,8,4,10.17
75,8,5,10.87
76,8,6,10.0
77,8,7,12.85
78,8,8,9.98
79,8,9,10.0
80,9,0,10.36
81,9,1,12.47
82,9,2,10.66
83,9,3,10.32
84,9,4,10.03
85,9,5,13.98
86,9,6,10.27
87,9,7,10.67
88,9,8,10.01
89,9,9,11.01
90,10,0,14.13
91,10,1,13.9
92,10,2,10.0
93,10,3,10.0
94,10,4,11.87
95,10,5,17.43
96,10,6,10.93
97,10,7,15.27
98,10,8,11.18
99,10,9,10.25
100,11,0,14.79
101,11,1,16.38
102,11,2,11.69
103,11,3,15.55
104,11,4,17.1
105,11,5,11.48
106,11,6,15.88
107,11,7,11.7
108,11,8,10.0
109,11,9,14.51
110,12,0,18.5
111,12,1,19.17
112,12,2,10.28
113,12,3,19.77
114,12,4,13.79
115,12,5,18.6
116,12,6,16.79
117,12,7,16.31
118,12,8,15.07
119,12,9,16.79
120,13,0,15.15
121,13,1,16.64
122,13,2,14.97
123,13,3,19.21
124,13,4,21.7
125,13,5,13.81
126,13,6,15.99
127,13,7,12.34
128,13,8,18.34
129,13,9,16.28
130,14,0,16.11
131,14,1,17.3
132,14,2,17.12
133,14,3,14.32
134,14,4,11.91
135,14,5,17.31
136,14,6,14.32
