,Round,Client,TestAcc
0,1,0,10.0
1,1,1,10.0
2,1,2,10.0
3,1,3,10.69
4,1,4,10.0
5,1,5,10.0
6,1,6,10.0
7,1,7,10.0
8,1,8,9.1
9,1,9,10.0
10,2,0,10.0
11,2,1,10.0
12,2,2,10.0
13,2,3,10.0
14,2,4,8.44
15,2,5,10.1
16,2,6,9.91
17,2,7,10.0
18,2,8,9.55
19,2,9,10.13
20,3,0,10.03
21,3,1,10.0
22,3,2,10.0
23,3,3,10.0
24,3,4,9.87
25,3,5,9.97
26,3,6,10.0
27,3,7,8.67
28,3,8,10.0
29,3,9,10.0
30,4,0,9.91
31,4,1,10.0
32,4,2,10.13
33,4,3,9.99
34,4,4,9.4
35,4,5,9.69
36,4,6,9.95
37,4,7,10.0
38,4,8,9.98
39,4,9,10.0
40,5,0,9.7
41,5,1,10.39
42,5,2,10.74
43,5,3,9.8
44,5,4,9.4
45,5,5,10.0
46,5,6,10.0
47,5,7,10.11
48,5,8,10.79
49,5,9,10.63
50,6,0,10.01
51,6,1,10.12
52,6,2,10.93
53,6,3,10.42
54,6,4,10.2
55,6,5,10.08
56,6,6,11.78
57,6,7,11.78
58,6,8,9.94
59,6,9,10.52
60,7,0,10.11
61,7,1,12.37
62,7,2,12.17
63,7,3,10.0
64,7,4,10.06
65,7,5,10.66
66,7,6,11.84
67,7,7,9.66
68,7,8,10.4
69,7,9,10.0
70,8,0,10.01
71,8,1,10.06
72,8,2,10.0
73,8,3,10.87
74,8,4,10.01
75,8,5,13.19
76,8,6,10.86
77,8,7,13.31
78,8,8,11.76
79,8,9,10.0
80,9,0,10.65
81,9,1,15.77
82,9,2,11.0
83,9,3,11.11
84,9,4,10.09
85,9,5,15.06
86,9,6,10.92
87,9,7,11.49
88,9,8,10.13
89,9,9,14.99
90,10,0,17.61
91,10,1,11.86
92,10,2,10.0
93,10,3,10.04
94,10,4,12.8
95,10,5,17.13
96,10,6,13.92
97,10,7,15.21
98,10,8,11.2
99,10,9,11.68
100,11,0,20.13
101,11,1,16.72
102,11,2,12.7
103,11,3,16.68
104,11,4,18.69
105,11,5,10.67
106,11,6,13.71
107,11,7,15.07
108,11,8,10.14
109,11,9,19.49
110,12,0,16.41
111,12,1,15.82
112,12,2,9.96
113,12,3,21.39
114,12,4,17.38
115,12,5,20.47
116,12,6,16.89
117,12,7,18.59
118,12,8,15.91
119,12,9,14.84
120,13,0,21.62
121,13,1,17.27
122,13,2,14.26
123,13,3,17.42
124,13,4,22.91
125,13,5,16.05
126,13,6,15.94
127,13,7,13.4
128,13,8,19.19
129,13,9,18.53
130,14,0,16.4
131,14,1,20.07
132,14,2,12.74
133,14,3,19.24
134,14,4,13.45
135,14,5,15.86
136,14,6,16.42
