,Round,Client,TestAcc
0,1,0,9.84
1,1,1,10.0
2,1,2,10.0
3,1,3,9.96
4,1,4,10.0
5,1,5,10.04
6,1,6,9.98
7,1,7,9.31
8,1,8,8.89
9,1,9,9.99
10,2,0,10.05
11,2,1,9.99
12,2,2,10.16
13,2,3,10.0
14,2,4,10.78
15,2,5,8.94
16,2,6,10.9
17,2,7,8.75
18,2,8,10.01
19,2,9,9.03
20,3,0,11.24
21,3,1,9.99
22,3,2,10.08
23,3,3,10.08
24,3,4,9.98
25,3,5,10.73
26,3,6,10.12
27,3,7,10.39
28,3,8,12.26
29,3,9,10.0
30,4,0,12.38
31,4,1,9.85
32,4,2,10.0
33,4,3,9.88
34,4,4,9.76
35,4,5,11.02
36,4,6,10.17
37,4,7,12.25
38,4,8,10.19
39,4,9,12.0
40,5,0,9.71
41,5,1,10.36
42,5,2,11.17
43,5,3,10.25
44,5,4,10.43
45,5,5,10.35
46,5,6,9.46
47,5,7,9.45
48,5,8,9.88
49,5,9,9.09
50,6,0,10.34
51,6,1,10.07
52,6,2,10.32
53,6,3,11.01
54,6,4,10.0
55,6,5,10.89
56,6,6,10.65
57,6,7,10.65
58,6,8,10.59
59,6,9,11.27
60,7,0,10.45
61,7,1,10.08
62,7,2,10.9
63,7,3,10.39
64,7,4,10.31
65,7,5,12.11
66,7,6,10.6
67,7,7,10.65
68,7,8,11.73
69,7,9,10.15
70,8,0,11.58
71,8,1,10.1
72,8,2,10.0
73,8,3,10.78
74,8,4,10.82
75,8,5,10.89
76,8,6,11.46
77,8,7,12.27
78,8,8,10.32
79,8,9,10.57
80,9,0,11.88
81,9,1,11.93
82,9,2,10.74
83,9,3,10.94
84,9,4,10.25
85,9,5,12.68
86,9,6,10.22
87,9,7,10.16
88,9,8,9.75
89,9,9,12.38
90,10,0,11.23
91,10,1,11.8
92,10,2,10.07
93,10,3,9.92
94,10,4,12.04
95,10,5,10.51
96,10,6,10.44
97,10,7,12.22
98,10,8,10.18
99,10,9,11.08
100,11,0,14.21
101,11,1,11.15
102,11,2,14.21
103,11,3,12.86
104,11,4,13.06
105,11,5,10.28
106,11,6,10.82
107,11,7,12.97
108,11,8,10.01
109,11,9,13.02
110,12,0,14.53
111,12,1,14.31
112,12,2,10.18
113,12,3,14.86
114,12,4,14.62
115,12,5,14.29
116,12,6,13.41
117,12,7,15.43
118,12,8,12.6
119,12,9,12.99
120,13,0,15.66
121,13,1,14.8
122,13,2,15.98
123,13,3,14.14
124,13,4,16.12
125,13,5,14.1
126,13,6,14.06
127,13,7,13.3
128,13,8,15.77
129,13,9,16.61
130,14,0,13.88
131,14,1,16.83
132,14,2,11.84
133,14,3,16.71
134,14,4,14.64
135,14,5,15.67
136,14,6,16.41
137,14,7,14.01
138,14,8,13.46
139,14,9,11.4
140,15,0,18.08
141,15,1,20.17
142,15,2,14.99
143,15,3,19.11
144,15,4,20.11
145,15,5,16.89
146,15,6,15.61
147,15,7,16.86
148,15,8,17.98
149,15,9,16.65
150,16,0,20.96
151,16,1,15.3
152,16,2,18.44
153,16,3,20.96
154,16,4,19.55
155,16,5,17.98
156,16,6,19.22
157,16,7,17.69
158,16,8,18.08
159,16,9,19.67
160,17,0,18.07
161,17,1,17.23
162,17,2,23.9
163,17,3,20.93
164,17,4,16.07
165,17,5,17.97
166,17,6,19.3
167,17,7,18.2
168,17,8,16.01
169,17,9,16.31
170,18,0,21.38
171,18,1,21.22
172,18,2,12.64
173,18,3,20.2
174,18,4,16.21
175,18,5,19.11
176,18,6,19.14
177,18,7,20.91
178,18,8,18.36
179,18,9,20.64
180,19,0,21.28
181,19,1,21.65
182,19,2,10.11
183,19,3,15.94
184,19,4,17.26
185,19,5,19.14
186,19,6,18.87
187,19,7,20.48
188,19,8,20.24
189,19,9,19.15
190,20,0,18.61
191,20,1,15.9
192,20,2,18.43
193,20,3,17.92
194,20,4,20.47
195,20,5,23.23
196,20,6,17.89
197,20,7,19.29
198,20,8,16.23
199,20,9,15.04
200,21,0,21.39
201,21,1,20.63
202,21,2,16.62
203,21,3,18.23
204,21,4,16.38
205,21,5,22.41
206,21,6,20.64
207,21,7,17.56
208,21,8,20.5
209,21,9,22.51
210,22,0,23.04
211,22,1,17.01
212,22,2,21.27
213,22,3,14.69
214,22,4,21.69
215,22,5,12.98
216,22,6,17.33
217,22,7,19.33
218,22,8,21.25
219,22,9,16.69
220,23,0,18.9
221,23,1,21.05
222,23,2,17.14
223,23,3,21.76
224,23,4,24.26
225,23,5,13.95
226,23,6,22.13
227,23,7,16.92
228,23,8,18.82
229,23,9,26.96
230,24,0,18.52
231,24,1,17.75
232,24,2,24.65
233,24,3,24.63
234,24,4,20.93
235,24,5,18.78
236,24,6,24.83
237,24,7,24.67
238,24,8,23.36
239,24,9,20.32
240,25,0,20.56
241,25,1,20.96
242,25,2,23.43
243,25,3,20.26
244,25,4,20.63
245,25,5,22.22
246,25,6,22.12
247,25,7,25.13
248,25,8,18.86
249,25,9,23.42
250,26,0,25.98
251,26,1,19.42
252,26,2,24.57
253,26,3,25.34
254,26,4,22.39
255,26,5,17.44
256,26,6,18.3
257,26,7,24.19
258,26,8,21.62
259,26,9,23.85
260,27,0,21.82
261,27,1,19.18
262,27,2,25.19
263,27,3,19.24
264,27,4,22.05
265,27,5,23.94
266,27,6,21.83
267,27,7,22.36
268,27,8,15.97
269,27,9,17.5
270,28,0,24.89
271,28,1,23.37
272,28,2,21.78
273,28,3,25.63
274,28,4,22.13
275,28,5,24.88
276,28,6,24.56
277,28,7,26.44
278,28,8,23.02
279,28,9,24.76
280,29,0,24.52
281,29,1,21.07
282,29,2,28.44
283,29,3,19.76
284,29,4,28.7
