,Round,Client,TestAcc
0,1,0,10.0
1,1,1,10.0
2,1,2,10.0
3,1,3,10.0
4,1,4,10.0
5,1,5,10.0
6,1,6,10.0
7,1,7,10.0
8,1,8,10.0
9,1,9,10.0
10,2,0,10.0
11,2,1,10.0
12,2,2,10.0
13,2,3,10.0
14,2,4,10.0
15,2,5,10.0
16,2,6,10.0
17,2,7,10.0
18,2,8,10.0
19,2,9,10.0
20,3,0,10.0
21,3,1,10.0
22,3,2,10.0
23,3,3,10.0
24,3,4,10.0
25,3,5,10.0
26,3,6,10.0
27,3,7,10.0
28,3,8,9.98
29,3,9,10.0
30,4,0,10.0
31,4,1,9.89
32,4,2,10.0
33,4,3,10.0
34,4,4,10.0
35,4,5,10.0
36,4,6,10.0
37,4,7,10.0
38,4,8,10.0
39,4,9,10.0
40,5,0,10.0
41,5,1,10.0
42,5,2,10.0
43,5,3,10.0
44,5,4,10.0
45,5,5,10.0
46,5,6,10.0
47,5,7,10.0
48,5,8,10.0
49,5,9,10.0
50,6,0,10.0
51,6,1,10.0
52,6,2,10.0
53,6,3,10.0
54,6,4,10.0
55,6,5,10.0
56,6,6,10.0
57,6,7,10.0
58,6,8,10.0
59,6,9,10.0
60,7,0,10.0
61,7,1,10.0
62,7,2,10.0
63,7,3,10.0
64,7,4,10.0
65,7,5,10.0
66,7,6,10.0
67,7,7,10.0
68,7,8,10.0
69,7,9,10.0
70,8,0,10.01
71,8,1,10.0
72,8,2,10.0
73,8,3,11.07
74,8,4,10.0
75,8,5,10.0
76,8,6,10.0
77,8,7,10.0
78,8,8,10.0
79,8,9,10.0
80,9,0,10.0
81,9,1,10.0
82,9,2,10.0
83,9,3,10.0
84,9,4,10.0
85,9,5,10.0
86,9,6,10.0
87,9,7,10.0
88,9,8,10.0
89,9,9,10.0
90,10,0,10.0
91,10,1,9.92
92,10,2,10.0
93,10,3,10.0
94,10,4,10.0
95,10,5,10.0
96,10,6,10.0
97,10,7,10.0
98,10,8,10.0
99,10,9,10.0
100,11,0,10.0
101,11,1,10.79
102,11,2,10.0
103,11,3,10.0
104,11,4,10.0
105,11,5,10.0
106,11,6,10.0
107,11,7,10.0
108,11,8,10.0
109,11,9,10.0
110,12,0,10.0
111,12,1,10.92
112,12,2,10.0
113,12,3,9.97
114,12,4,10.0
115,12,5,10.0
116,12,6,10.0
117,12,7,10.0
118,12,8,9.96
119,12,9,10.0
120,13,0,10.0
121,13,1,10.0
122,13,2,10.0
123,13,3,10.0
124,13,4,10.0
125,13,5,10.0
126,13,6,10.0
127,13,7,10.0
128,13,8,10.0
129,13,9,10.0
130,14,0,10.0
131,14,1,9.93
132,14,2,10.0
133,14,3,10.0
134,14,4,10.0
135,14,5,10.0
136,14,6,10.0
