,Round,Client,TestAcc
278,28,8,97.66
279,28,9,97.78
280,29,0,97.72
281,29,1,97.79
282,29,2,97.76
283,29,3,97.72
284,29,4,97.75
285,29,5,97.75
286,29,6,97.34
287,29,7,97.8
288,29,8,97.59
289,29,9,97.77
290,30,0,97.79
291,30,1,97.78
292,30,2,97.85
293,30,3,97.67
294,30,4,97.77
295,30,5,97.7
296,30,6,97.69
297,30,7,97.81
298,30,8,97.7
299,30,9,97.87
300,31,0,97.73
301,31,1,97.7
302,31,2,97.74
303,31,3,97.76
304,31,4,97.75
305,31,5,97.74
306,31,6,97.85
307,31,7,97.82
308,31,8,97.66
309,31,9,97.65
310,32,0,97.85
311,32,1,97.76
312,32,2,97.67
313,32,3,97.73
314,32,4,97.76
315,32,5,97.61
316,32,6,97.81
317,32,7,97.78
318,32,8,97.82
319,32,9,97.84
320,33,0,97.8
321,33,1,97.67
322,33,2,97.74
323,33,3,97.74
324,33,4,97.75
325,33,5,97.72
326,33,6,97.9
327,33,7,97.89
328,33,8,97.74
329,33,9,97.8
330,34,0,97.76
331,34,1,97.76
332,34,2,97.77
333,34,3,97.69
334,34,4,97.62
335,34,5,97.83
336,34,6,97.75
337,34,7,97.76
338,34,8,97.72
339,34,9,97.73
340,35,0,97.76
341,35,1,97.75
342,35,2,97.8
343,35,3,97.77
344,35,4,97.81
345,35,5,97.79
346,35,6,97.79
347,35,7,97.84
348,35,8,97.67
349,35,9,97.71
350,36,0,97.74
351,36,1,97.72
352,36,2,97.79
353,36,3,97.68
354,36,4,97.57
355,36,5,97.86
356,36,6,97.72
357,36,7,97.77
358,36,8,97.84
359,36,9,97.76
360,37,0,97.76
361,37,1,97.81
362,37,2,97.82
363,37,3,97.82
364,37,4,97.8
365,37,5,97.68
366,37,6,97.68
367,37,7,97.8
368,37,8,97.83
369,37,9,97.75
370,38,0,97.78
371,38,1,97.79
372,38,2,97.87
373,38,3,97.54
374,38,4,97.81
375,38,5,97.85
376,38,6,97.72
377,38,7,97.85
378,38,8,97.77
379,38,9,97.81
380,39,0,97.78
381,39,1,97.8
382,39,2,97.72
383,39,3,97.69
384,39,4,97.79
385,39,5,97.67
386,39,6,97.72
387,39,7,97.76
388,39,8,97.83
389,39,9,97.8
390,40,0,97.74
391,40,1,97.77
392,40,2,97.74
393,40,3,97.78
394,40,4,97.77
395,40,5,97.74
396,40,6,97.7
397,40,7,97.8
398,40,8,97.77
399,40,9,97.74
400,41,0,97.74
401,41,1,97.71
402,41,2,97.83
403,41,3,97.61
404,41,4,97.75
405,41,5,97.73
406,41,6,97.69
407,41,7,97.66
408,41,8,97.7
409,41,9,97.33
410,42,0,97.65
411,42,1,97.74
412,42,2,97.72
413,42,3,97.48
414,42,4,97.76
415,42,5,97.72
416,42,6,97.71
417,42,7,97.79
418,42,8,97.77
419,42,9,97.69
420,43,0,97.81
421,43,1,97.82
422,43,2,97.79
423,43,3,97.7
424,43,4,97.77
425,43,5,97.81
426,43,6,97.83
427,43,7,97.84
428,43,8,97.78
429,43,9,97.71
430,44,0,97.75
431,44,1,97.84
432,44,2,97.73
433,44,3,97.74
434,44,4,97.72
435,44,5,97.88
436,44,6,97.82
437,44,7,97.76
438,44,8,97.78
439,44,9,97.87
440,45,0,97.83
441,45,1,97.81
442,45,2,97.82
443,45,3,97.69
444,45,4,97.82
445,45,5,97.76
446,45,6,97.7
447,45,7,97.83
448,45,8,97.86
449,45,9,97.84
450,46,0,97.74
451,46,1,97.73
452,46,2,97.78
453,46,3,97.75
454,46,4,97.86
455,46,5,97.81
456,46,6,97.8
457,46,7,97.75
458,46,8,97.66
459,46,9,97.71
460,47,0,97.81
461,47,1,97.77
462,47,2,97.75
463,47,3,97.76
464,47,4,97.71
465,47,5,97.8
466,47,6,97.71
467,47,7,97.83
468,47,8,97.78
469,47,9,97.71
470,48,0,97.6
471,48,1,97.6
472,48,2,97.76
473,48,3,97.86
474,48,4,97.75
475,48,5,97.73
476,48,6,97.78
477,48,7,97.77
478,48,8,97.75
479,48,9,97.75
480,49,0,97.74
481,49,1,97.77
482,49,2,97.78
483,49,3,97.83
484,49,4,97.84
485,49,5,97.76
486,49,6,97.75
487,49,7,97.81
488,49,8,97.76
489,49,9,97.78
490,50,0,97.74
491,50,1,97.77
492,50,2,97.7
493,50,3,97.77
494,50,4,97.78
495,50,5,97.73
496,50,6,97.77
497,50,7,97.84
498,50,8,97.84
499,50,9,97.78
